nome_completo,sexo,cpf,data_nascimento,email,telefone,endereco_cidade,endereco_estado,curso_matricula_aluno,curso_codigo,curso_data_ingresso,curso_data_prevista_conclusao,curso_data_conclusao,curso_situacao_matricula
Joaquim Cassiano,m,503.297.148-05,2002-12-16,limacalebe@example.net,+55 67 99263-7054,Cavalcante,Bahia,575875,5,2023-09-17,2024-12-20,2024-12-20,ativo
Julia Abreu,f,206.547.819-58,2005-01-22,joao-lucasvargas@example.org,+55 39 98640-3584,Moraes,São Paulo,171435,1,2023-08-20,2026-08-02,2026-08-02,ativo
Joana Barros,f,789.104.563-10,2004-02-08,andradedavi-lucas@example.com,+55 93 95495-3297,da Mota,Paraíba,104518,5,2023-03-27,2026-11-21,2026-11-21,ativo
Francisco Ribeiro,m,043.518.672-80,1990-04-19,ycaldeira@example.org,+55 72 99898-6424,Nogueira Alegre,Rio Grande do Norte,480307,2,2024-09-29,2026-03-09,2026-03-09,trancado
Sr. Isaque Fonseca,m,217.349.560-70,1997-06-08,lorenzo10@example.net,+55 83 94308-5362,Gonçalves do Norte,Ceará,897257,4,2023-11-28,2026-02-10,2026-02-10,ativo
Dr. Marcos Vinicius Sá,m,695.840.721-02,1984-12-15,rafaelada-cunha@example.com,+55 88 91644-6538,Cavalcante,Minas Gerais,246659,4,2023-06-23,2026-03-28,2026-03-28,ativo
Dr. Guilherme Pires,m,291.743.860-69,2003-02-28,caldeirathales@example.org,+55 55 92295-5461,Silva,Ceará,267112,1,2023-04-04,2026-06-27,2026-06-27,trancado
Luiz Fernando Moraes,m,260.517.348-80,2003-02-25,noliveira@example.org,+55 49 99666-4045,Costa de Marques,Rio Grande do Norte,259585,3,2024-09-07,2026-06-19,2026-06-19,ativo
Brenda Costa,f,456.820.713-44,1985-09-14,da-costaclarice@example.org,+55 76 95811-3405,Monteiro de Melo,Rio Grande do Norte,425066,1,2023-10-03,2025-09-07,2025-09-07,ativo
Luiz Gustavo Casa Grande,m,309.645.281-42,1985-11-23,calebe71@example.net,+55 64 98797-2048,Cavalcanti,Piauí,606251,4,2024-02-16,2026-09-21,2026-09-21,trancado
Mateus Pires,m,174.605.983-48,2003-11-18,caleberios@example.org,+55 48 94153-5602,Pastor Verde,Maranhão,125145,3,2024-09-21,2025-02-19,2025-02-19,ativo
Dr. Igor Nunes,m,018.739.645-01,1998-09-17,joao-guilherme06@example.com,+55 38 91273-8231,Guerra do Galho,Paraíba,586334,4,2023-02-23,2026-09-14,2026-09-14,ativo
Sr. Matheus Gonçalves,m,624.351.709-80,1987-05-20,borgesstella@example.org,+55 18 91899-9036,Cunha,Amapá,220887,5,2024-02-07,2026-04-11,2026-04-11,ativo
Cecília Teixeira,f,315.084.769-93,1993-06-16,ypastor@example.com,+55 63 97460-9046,Novaes de Silva,Amazonas,814754,5,2023-06-27,2026-01-30,2026-01-30,ativo
Dr. Guilherme Câmara,m,921.834.507-97,1980-12-13,davi15@example.net,+55 16 92372-5200,Macedo de Campos,Paraná,327226,3,2024-04-22,2025-03-19,2025-03-19,ativo
Sr. Matheus Martins,m,947.653.821-09,1981-09-11,casa-grandefernando@example.com,+55 47 93619-6440,Fonseca Grande,Rio Grande do Sul,870517,4,2023-06-11,2025-01-16,2025-01-16,trancado
Rafaela da Costa,f,924.167.530-61,2003-10-04,ncamara@example.org,+55 71 95564-4177,Camargo,Paraíba,335612,4,2023-03-19,2025-02-03,2025-02-03,ativo
Srta. Julia Pimenta,f,193.204.578-32,2005-03-11,xgoncalves@example.com,+55 35 99889-2763,Leão,Rondônia,577040,2,2024-08-02,2025-01-06,2025-01-06,ativo
Murilo Rodrigues,m,365.978.410-93,2001-04-18,sophiefogaca@example.com,+55 30 92625-8398,Viana,Acre,128123,2,2023-03-17,2025-02-16,2025-02-16,trancado
Dr. Gabriel Moraes,m,739.425.016-43,1991-12-04,alvesoliver@example.net,+55 66 92690-1441,Porto,Espírito Santo,321254,2,2023-06-16,2025-12-26,2025-12-26,ativo
Sr. Heitor da Cunha,m,739.601.548-01,1981-04-17,santosvalentina@example.net,+55 66 99433-8576,da Conceição,Mato Grosso do Sul,738011,2,2023-08-01,2026-02-10,2026-02-10,trancado
Davi Miguel Macedo,m,245.801.967-67,1989-06-07,tsilveira@example.org,+55 30 95274-8654,Dias Grande,Mato Grosso,928198,5,2024-05-19,2026-10-26,2026-10-26,ativo
Manuella Leão,f,354.916.728-82,1989-10-10,valentim74@example.org,+55 24 91679-6182,Barbosa da Praia,Espírito Santo,430777,2,2023-07-04,2026-11-11,2026-11-11,ativo
Bento da Conceição,m,462.703.591-80,1992-10-01,apimenta@example.org,+55 87 94101-1198,Melo da Mata,Sergipe,384686,2,2024-05-07,2026-08-02,2026-08-02,ativo
Rhavi Silva,m,051.423.786-44,1991-06-29,davi-miguelpires@example.com,+55 50 97191-4726,Campos da Mata,Sergipe,151287,4,2024-04-07,2025-02-16,2025-02-16,ativo
Srta. Maria Alice da Cruz,f,391.867.054-66,1985-02-28,lais98@example.net,+55 10 97282-5299,da Cruz,Sergipe,993278,4,2023-12-12,2025-04-16,2025-04-16,ativo
Sr. Anthony Novaes,m,284.730.195-04,1998-05-21,arthurcasa-grande@example.org,+55 71 93953-6937,Almeida,Roraima,867707,2,2024-03-20,2025-03-31,2025-03-31,ativo
Bianca Duarte,f,256.147.389-91,1982-07-01,ana-lizgoncalves@example.com,+55 85 91750-1220,Rios,Rio Grande do Norte,311335,5,2023-04-07,2025-08-19,2025-08-19,ativo
Vitória Fernandes,f,875.602.134-80,2000-12-30,britocamila@example.org,+55 64 99549-8146,Araújo,Mato Grosso do Sul,752678,1,2023-10-19,2026-04-09,2026-04-09,ativo
Daniel Martins,m,391.468.570-01,1990-12-22,stella12@example.org,+55 75 97313-5970,Garcia de Cardoso,Amapá,440106,3,2024-09-03,2025-09-21,2025-09-21,ativo
Juliana Aparecida,f,382.104.695-33,1993-08-16,hellenaaraujo@example.com,+55 27 99880-9987,Sousa da Prata,Paraná,749928,2,2024-01-06,2026-12-16,2026-12-16,ativo
Maria Clara Marques,f,716.458.930-57,1989-09-27,fariasvalentim@example.net,+55 10 98314-4698,Albuquerque de Goiás,São Paulo,715045,2,2023-05-18,2026-03-02,2026-03-02,ativo
Marcelo Araújo,m,431.765.209-99,2001-04-25,carvalhorafaela@example.net,+55 48 94499-5873,Machado do Sul,Rio Grande do Norte,687636,4,2023-07-11,2025-05-18,2025-05-18,ativo
Pedro Lucas Teixeira,m,629.570.438-74,1998-12-21,tandrade@example.org,+55 11 95948-8502,Aparecida,Alagoas,213422,2,2023-11-10,2025-04-08,2025-04-08,ativo
Kamilly Cunha,f,741.928.360-50,1993-12-17,maria-liz04@example.net,+55 38 97634-5630,Câmara,Paraíba,855173,1,2023-09-25,2026-12-15,2026-12-15,ativo
Helena Carvalho,f,472.196.805-11,1993-02-25,hadassapinto@example.com,+55 27 98940-5990,Caldeira,Espírito Santo,551271,5,2023-03-23,2025-12-27,2025-12-27,ativo
Zoe Novaes,f,185.092.674-30,2004-05-17,sophialopes@example.net,+55 37 97338-7022,da Mata do Oeste,Alagoas,760732,1,2023-11-07,2025-06-25,2025-06-25,ativo
Gael Ferreira,m,063.142.985-98,1990-01-10,claracosta@example.com,+55 94 96028-1344,da Conceição de Camargo,Amapá,116190,2,2023-01-02,2026-04-19,2026-04-19,ativo
Dom Novais,m,513.960.827-86,1998-11-06,pirespietra@example.org,+55 95 97950-5778,Marques Verde,Goiás,597392,5,2023-02-22,2024-12-29,2024-12-29,trancado
Ana Vitória Rodrigues,f,205.648.793-47,1989-02-02,jesusyuri@example.com,+55 68 93519-7208,Caldeira do Galho,Bahia,745819,1,2024-06-12,2025-08-07,2025-08-07,ativo
Maysa Castro,f,185.290.467-49,1991-01-16,ana-juliapastor@example.com,+55 89 91375-6464,Dias,Mato Grosso do Sul,494077,4,2024-08-22,2025-10-27,2025-10-27,ativo
Arthur Pacheco,m,068.172.954-67,1991-02-27,cassianopietra@example.org,+55 54 95037-2587,Correia das Flores,Pará,575833,2,2023-01-02,2025-11-07,2025-11-07,trancado
João Novaes,m,830.427.516-35,1995-11-13,wda-conceicao@example.com,+55 78 97112-5081,Duarte,Alagoas,721712,5,2024-04-08,2026-08-26,2026-08-26,trancado
Bella Araújo,f,761.925.304-16,2005-12-08,stephanyfogaca@example.org,+55 13 99782-4077,Campos,Rio Grande do Sul,667347,2,2023-02-09,2026-11-03,2026-11-03,ativo
Luana Vieira,f,861.405.273-17,2005-12-16,isabelagomes@example.net,+55 87 92931-5932,Borges,Amazonas,445237,2,2024-04-14,2026-08-09,2026-08-09,ativo
Júlia Correia,f,908.731.256-30,2004-01-15,theocamargo@example.com,+55 14 91371-7418,da Cunha de Cassiano,Minas Gerais,511762,2,2023-08-15,2026-10-10,2026-10-10,ativo
Theo Costa,m,638.052.714-17,2004-12-22,gustavo-henriquecasa-grande@example.com,+55 16 96814-1160,Pimenta,Goiás,215485,3,2023-01-30,2025-04-21,2025-04-21,ativo
Clarice da Paz,f,278.496.513-91,1989-06-25,tmelo@example.org,+55 62 92116-5976,Cardoso,Alagoas,125588,4,2024-01-31,2025-10-21,2025-10-21,ativo
Nicole Teixeira,f,573.802.916-02,1980-06-30,hvargas@example.org,+55 92 98909-8062,Porto,Mato Grosso do Sul,277491,1,2023-09-30,2025-08-09,2025-08-09,cancelado
Yan Barbosa,m,961.450.287-85,1997-12-12,jcirino@example.com,+55 69 93169-3585,Camargo de Freitas,Distrito Federal,891427,3,2023-05-04,2026-07-06,2026-07-06,ativo
Dr. Raul Costa,m,810.736.924-69,2001-09-30,qmoura@example.net,+55 17 96360-5412,Nogueira Alegre,Pará,418074,3,2024-05-12,2025-05-01,2025-05-01,cancelado
Heloísa Borges,f,047.685.921-20,2000-12-09,pastormaria-vitoria@example.net,+55 19 97410-8067,da Rosa Alegre,Paraná,691176,2,2023-07-29,2025-11-24,2025-11-24,ativo
Dr. Luan Machado,m,135.426.097-06,1991-08-19,lunna53@example.org,+55 11 92130-7949,Pinto Grande,Mato Grosso do Sul,659220,1,2024-04-08,2025-09-29,2025-09-29,ativo
Laís Mendonça,f,641.372.095-61,1984-02-13,apollo55@example.org,+55 74 97355-7722,da Conceição,Paraíba,718931,4,2023-02-20,2026-07-28,2026-07-28,ativo
Ester Mendonça,f,671.329.508-86,1981-07-02,sampaiovinicius@example.org,+55 46 91965-6812,Viana,Pará,649439,5,2024-02-04,2025-12-16,2025-12-16,ativo
Bruna Souza,f,925.316.804-89,1995-03-20,marianecavalcante@example.net,+55 86 96021-3750,Pires,Pernambuco,268305,1,2024-07-28,2026-04-08,2026-04-08,trancado
Emilly Melo,f,413.067.592-34,2005-07-16,ana-beatriz06@example.org,+55 19 94700-7357,Caldeira do Galho,Minas Gerais,193291,5,2024-04-10,2026-03-14,2026-03-14,ativo
Sofia Marques,f,391.742.658-73,2001-06-12,jose-miguel47@example.org,+55 40 96813-9581,Porto,Rio Grande do Sul,271846,5,2023-11-16,2026-06-30,2026-06-30,ativo
Nathan Novaes,m,945.670.831-48,2003-10-20,eduardajesus@example.net,+55 59 97727-7531,Cardoso do Norte,Amapá,489547,2,2024-03-16,2026-02-23,2026-02-23,ativo
Vicente Nunes,m,729.318.054-32,1996-09-29,carvalhothomas@example.org,+55 19 92988-2589,Costela do Norte,Pernambuco,923680,3,2023-04-05,2026-05-29,2026-05-29,ativo
Luiz Gustavo Macedo,m,594.763.201-25,1989-08-22,cda-paz@example.net,+55 33 94409-2355,da Mata,Mato Grosso,257977,4,2024-03-30,2026-07-08,2026-07-08,ativo
Arthur Ribeiro,m,286.347.091-40,1986-02-08,marcos-vinicius46@example.net,+55 17 93366-6246,Caldeira das Pedras,Piauí,751343,2,2023-07-24,2025-04-20,2025-04-20,trancado
Evelyn Caldeira,f,398.417.652-09,1986-03-18,jmendonca@example.net,+55 31 92351-7141,Ramos,Mato Grosso do Sul,325429,1,2024-07-17,2026-10-04,2026-10-04,ativo
José Pedro Martins,m,406.857.391-39,1985-12-02,maitecardoso@example.net,+55 54 98386-3709,Freitas das Flores,Espírito Santo,750038,2,2023-03-29,2024-12-29,2024-12-29,ativo
Amanda Pacheco,f,670.583.219-30,2001-12-21,alexiasouza@example.net,+55 24 92276-6025,Marques dos Dourados,Bahia,733330,2,2024-05-28,2024-12-13,2024-12-13,trancado
Liz Câmara,f,067.392.418-13,2003-12-08,gomesana-sophia@example.com,+55 59 98048-3564,Cunha,Santa Catarina,191320,3,2023-12-24,2026-07-23,2026-07-23,ativo
Luiz Miguel Pires,m,276.309.185-77,1982-10-05,joao-guilherme26@example.org,+55 22 95665-5769,Abreu de Dias,Mato Grosso do Sul,285610,5,2024-06-25,2024-12-18,2024-12-18,ativo
Ana Sophia Nunes,f,289.470.635-92,1996-02-08,lbarros@example.org,+55 67 92272-6931,Silva,Pernambuco,914995,4,2023-07-19,2026-12-11,2026-12-11,ativo
Levi Cassiano,m,865.203.417-62,2001-11-13,ravi86@example.net,+55 33 99914-3450,Alves das Flores,Tocantins,425854,5,2024-04-04,2025-03-01,2025-03-01,ativo
Maria Isis Nunes,f,240.365.187-71,1996-12-26,nicolas00@example.com,+55 90 91346-7420,Moura,Rio Grande do Sul,894816,4,2023-10-19,2026-04-20,2026-04-20,cancelado
Anna Liz Ferreira,f,970.651.423-61,2004-06-12,danilovasconcelos@example.org,+55 65 95118-8633,Leão,Pará,927622,2,2024-06-20,2026-11-27,2026-11-27,ativo
Daniel Casa Grande,m,714.520.689-76,1988-08-19,gustavo53@example.net,+55 49 98564-4946,Barros,Tocantins,213463,5,2024-07-07,2026-07-26,2026-07-26,cancelado
Lucca Sá,m,819.607.235-02,1987-07-05,dnascimento@example.org,+55 91 98499-9018,Rios,Pernambuco,834626,1,2023-10-16,2025-02-18,2025-02-18,ativo
Benjamin Pastor,m,584.063.921-42,1987-09-22,aylla51@example.com,+55 38 99723-2561,Santos,Pará,423662,3,2024-08-09,2025-12-08,2025-12-08,cancelado
Oliver Fonseca,m,458.973.261-00,1994-08-31,bruno27@example.org,+55 82 95000-6007,Castro,Ceará,703006,2,2024-08-09,2026-03-07,2026-03-07,ativo
Liam Camargo,m,763.098.524-00,1982-01-04,sophie03@example.org,+55 11 91903-7868,da Mota,Paraná,670893,3,2023-01-06,2025-07-15,2025-07-15,cancelado
Benicio Freitas,m,196.502.748-20,1998-06-04,silveirabento@example.org,+55 88 97558-8972,da Mota,Amazonas,334603,1,2023-03-23,2025-06-25,2025-06-25,cancelado
Rodrigo Nunes,m,435.027.869-92,2002-10-16,eduardalima@example.com,+55 70 91897-4756,Nogueira,Paraná,256485,1,2023-10-18,2025-05-08,2025-05-08,ativo
Dr. Emanuel da Mota,m,356.471.208-90,1991-01-15,emanuellafernandes@example.com,+55 64 91128-3321,Monteiro,Sergipe,865484,2,2024-05-27,2025-08-11,2025-08-11,ativo
Luna Oliveira,f,462.539.710-34,1980-02-19,gustavo-henriquesousa@example.net,+55 63 97494-6281,Aparecida,Amapá,203718,1,2024-08-20,2026-04-10,2026-04-10,ativo
Stella da Cruz,f,847.610.593-20,1986-01-05,caiodias@example.net,+55 46 98661-5454,Pinto do Norte,Goiás,476709,5,2023-09-03,2026-02-19,2026-02-19,ativo
Helena Castro,f,215.694.087-85,1989-08-28,xcostela@example.com,+55 75 91117-1858,Rocha,Mato Grosso,223849,2,2023-10-30,2025-08-29,2025-08-29,ativo
Nicolas da Paz,m,728.690.143-50,1993-12-03,kamilly78@example.com,+55 88 93162-6339,Nunes do Sul,Rio Grande do Norte,971517,1,2023-11-08,2025-06-20,2025-06-20,ativo
Sr. Antony Novaes,m,579.314.820-50,2005-02-04,nunesagatha@example.com,+55 33 91043-8657,Mendonça das Flores,Rio de Janeiro,504526,3,2024-01-09,2026-07-16,2026-07-16,ativo
Sr. Erick Pires,m,719.823.605-77,1983-01-22,aparecidamaria-helena@example.net,+55 76 96386-3904,Guerra de Goiás,Rondônia,890518,4,2024-02-16,2025-02-03,2025-02-03,ativo
Srta. Maria Eduarda Montenegro,f,087.354.629-65,1985-01-30,bruno80@example.com,+55 69 94544-4094,da Cunha,Rio Grande do Sul,865988,1,2024-02-14,2025-09-01,2025-09-01,ativo
Manuella Teixeira,f,468.371.590-20,1990-03-11,xramos@example.com,+55 46 94766-4246,da Rosa de Vieira,Mato Grosso,591061,2,2023-08-09,2026-07-27,2026-07-27,ativo
Kevin Moura,m,603.725.194-07,2003-08-08,vinicius25@example.com,+55 28 93219-5308,Rios,Mato Grosso do Sul,631355,3,2023-01-05,2025-11-03,2025-11-03,ativo
Ana Laura da Mata,f,530.179.248-23,1985-02-14,ana-liviaalmeida@example.org,+55 15 93634-5144,Câmara,Rio Grande do Sul,378008,3,2024-08-18,2026-02-10,2026-02-10,ativo
Zoe Moura,f,765.201.498-02,1984-03-24,lorenzodias@example.net,+55 70 98470-9671,Freitas,Ceará,532832,5,2023-11-16,2026-05-03,2026-05-03,ativo
Luan Guerra,m,978.254.316-00,1982-07-10,isabela25@example.org,+55 94 95341-3341,Vargas,Minas Gerais,951885,1,2024-02-29,2025-04-23,2025-04-23,ativo
Maria Helena Barros,f,809.571.623-59,1988-02-25,plopes@example.org,+55 64 92002-3616,da Cunha da Serra,Espírito Santo,389756,1,2024-06-29,2025-04-23,2025-04-23,trancado
Bella Rodrigues,f,437.689.015-48,1980-01-09,oliviamoura@example.com,+55 69 94566-6252,Casa Grande,Mato Grosso,503980,5,2024-08-02,2025-05-29,2025-05-29,ativo
Clara Pires,f,758.214.306-07,1981-11-09,isabella06@example.org,+55 53 98970-6913,Mendes,Ceará,182605,4,2024-09-16,2025-11-17,2025-11-17,ativo
Vitor Brito,m,719.863.452-46,1981-02-18,matteo78@example.org,+55 83 93779-5985,Moreira da Praia,Tocantins,653285,5,2023-09-28,2025-08-22,2025-08-22,ativo
André Silva,m,918.435.072-50,1998-11-25,ayla23@example.org,+55 69 98995-6208,Novais de Novaes,Rio Grande do Sul,202259,1,2023-02-28,2025-09-07,2025-09-07,ativo
Sra. Bruna Leão,f,079.251.864-02,1995-01-11,elisa18@example.com,+55 12 99245-7692,Costa,Distrito Federal,951173,5,2024-03-10,2026-05-24,2026-05-24,ativo
Augusto da Rosa,m,093.716.248-50,2003-08-20,hellena11@example.org,+55 63 93358-8883,Marques,São Paulo,186404,2,2024-08-17,2026-01-24,2026-01-24,ativo
Benício Lopes,m,832.046.519-24,1990-03-20,leandrodas-neves@example.net,+55 24 96695-1604,Azevedo Alegre,Espírito Santo,958594,4,2023-01-29,2025-02-04,2025-02-04,cancelado
Anna Liz Brito,f,502.967.341-52,1983-11-21,nascimentopedro-lucas@example.org,+55 63 95473-9400,Castro,Mato Grosso,909203,2,2023-12-28,2025-07-18,2025-07-18,ativo
Lara Aparecida,f,692.583.107-21,2003-08-18,gnovais@example.net,+55 18 99034-8503,Cunha,Pará,562217,4,2023-10-12,2025-08-27,2025-08-27,ativo
Emanuelly Oliveira,f,375.420.816-08,1985-03-15,araujomanuella@example.net,+55 81 98659-3641,Pinto,Pará,506844,3,2023-06-23,2025-06-02,2025-06-02,ativo
José Abreu,m,413.289.607-22,1984-12-04,mathiasmonteiro@example.com,+55 44 91513-8929,Barbosa de Minas,Distrito Federal,774785,5,2024-08-08,2025-12-19,2025-12-19,ativo
Fernando Farias,m,259.783.104-32,1982-04-22,ana-carolinalima@example.net,+55 37 93015-5154,Cirino,Rio Grande do Norte,386761,2,2024-07-19,2025-05-08,2025-05-08,ativo
Nicole Duarte,f,310.842.657-53,1996-08-01,costelarodrigo@example.com,+55 69 92360-3003,Lima,Goiás,702957,2,2023-02-03,2026-05-30,2026-05-30,ativo
Brayan Nogueira,m,329.158.406-60,1993-06-22,antony74@example.net,+55 92 99411-5673,Barbosa,Paraná,397177,3,2023-08-21,2026-04-12,2026-04-12,ativo
Henrique Macedo,m,895.072.631-95,1995-03-08,larissa02@example.net,+55 39 96083-4470,Sampaio,Ceará,682720,2,2023-02-17,2026-05-02,2026-05-02,ativo
Luana da Costa,f,652.809.174-94,1980-05-10,fariasyuri@example.com,+55 80 97829-1230,Borges do Sul,Rondônia,656696,2,2023-12-08,2025-08-12,2025-08-12,ativo
Olivia Costela,f,230.765.918-86,2003-07-20,camposjoao-vitor@example.org,+55 64 95481-2487,da Cruz de Novaes,Distrito Federal,129296,1,2023-07-11,2025-06-27,2025-06-27,ativo
Eduarda Macedo,f,507.386.149-39,1981-09-01,caldeirapedro-miguel@example.org,+55 45 94071-6132,Ramos,Distrito Federal,495491,4,2023-10-26,2025-06-26,2025-06-26,ativo
Eduardo Azevedo,m,641.257.893-55,1980-01-21,benjamim63@example.net,+55 24 98977-8449,Siqueira da Mata,Rio Grande do Sul,182044,5,2023-08-31,2025-01-12,2025-01-12,ativo
Carolina Montenegro,f,769.450.218-58,2004-11-26,obarbosa@example.org,+55 50 93854-7193,Barbosa,Amapá,965963,4,2023-02-27,2026-06-29,2026-06-29,ativo
Liam Moura,m,983.521.046-24,1993-12-19,luanmonteiro@example.org,+55 65 95393-2313,Cirino,Pará,935955,2,2023-04-20,2025-07-03,2025-07-03,ativo
Luiz Otávio Aragão,m,385.417.096-39,1994-10-13,bnovais@example.org,+55 87 91585-2896,Souza de Vasconcelos,Mato Grosso do Sul,255750,4,2023-10-02,2025-01-02,2025-01-02,ativo
Dr. Gael Pastor,m,940.168.237-22,1988-02-08,caio28@example.net,+55 93 92706-3711,Lopes,Sergipe,780404,2,2023-04-05,2026-10-28,2026-10-28,cancelado
Sophia Souza,f,431.679.580-57,2002-08-09,marina33@example.com,+55 37 92080-9682,da Mata de Viana,Espírito Santo,228427,3,2023-02-08,2025-05-02,2025-05-02,ativo
Murilo Moraes,m,824.375.901-88,1987-03-20,carvalhobryan@example.com,+55 87 95185-9280,Brito,Rio Grande do Sul,551738,5,2023-02-26,2026-05-02,2026-05-02,ativo
Maria Luísa da Conceição,f,142.896.053-89,2005-07-17,laviniagomes@example.org,+55 62 96704-4832,da Rosa,Santa Catarina,233019,4,2023-02-06,2026-06-28,2026-06-28,ativo
Maria Flor Fernandes,f,431.796.825-82,1996-07-14,davi-lucasnogueira@example.com,+55 36 94298-2412,Pacheco,Minas Gerais,822579,3,2023-08-14,2026-11-21,2026-11-21,ativo
Ana Sophia Melo,f,587.342.190-05,2001-07-17,nathan82@example.org,+55 31 91326-6640,Barros das Pedras,Pará,548325,2,2024-09-21,2026-06-29,2026-06-29,ativo
Bianca Porto,f,093.184.725-79,1981-06-04,brenodas-neves@example.org,+55 61 94805-8620,Nunes,São Paulo,559251,5,2024-06-21,2026-05-04,2026-05-04,ativo
Yago Costa,m,948.512.376-00,1988-01-12,eduardo68@example.com,+55 84 99986-6523,Moraes,Rio Grande do Sul,585615,4,2024-01-04,2026-05-01,2026-05-01,ativo
Theodoro Vargas,m,375.218.960-68,1987-02-16,enzorocha@example.org,+55 68 99632-4138,da Rosa,Alagoas,579738,1,2023-07-04,2025-11-22,2025-11-22,ativo
Théo Barbosa,m,603.529.487-10,1994-05-31,kevin13@example.net,+55 62 97608-4359,Aparecida da Prata,Bahia,714047,4,2023-04-04,2026-05-24,2026-05-24,ativo
Dante Costela,m,984.506.317-93,1989-04-10,santosluiz-miguel@example.org,+55 37 92180-5273,da Mota de da Mota,Amazonas,729126,4,2024-01-11,2026-05-19,2026-05-19,ativo
João Vitor Cavalcanti,m,137.028.564-71,1989-10-16,martinsjoana@example.com,+55 60 95111-9563,Machado,Tocantins,808312,3,2023-09-03,2026-05-16,2026-05-16,ativo
Enzo Gabriel Cunha,m,176.394.520-07,2004-04-01,ninabarbosa@example.net,+55 77 97909-3762,Garcia,Mato Grosso do Sul,134899,1,2023-05-01,2025-09-14,2025-09-14,ativo
Cecília Martins,f,024.876.153-62,1993-01-20,cirinojoao-vitor@example.com,+55 62 92735-4047,Gomes das Flores,Tocantins,140449,4,2023-12-11,2025-10-26,2025-10-26,ativo
Ana Clara Azevedo,f,641.982.035-98,1988-11-20,sfogaca@example.net,+55 38 95576-2223,Souza,São Paulo,506745,3,2024-06-23,2025-06-22,2025-06-22,ativo
Dr. Isaque Freitas,m,205.349.768-83,2004-08-06,vieiradavi-miguel@example.net,+55 41 98621-4042,Cavalcanti das Pedras,Paraná,659802,4,2023-07-01,2025-10-24,2025-10-24,trancado
Maria Isis Fogaça,f,198.735.062-68,1990-06-14,tcamargo@example.net,+55 40 92254-3919,da Mata,Goiás,519039,1,2024-09-22,2025-09-25,2025-09-25,trancado
Srta. Zoe Cunha,f,894.351.702-50,1993-02-21,raul48@example.org,+55 32 98814-8033,Caldeira do Oeste,Rondônia,213458,3,2024-04-30,2025-07-16,2025-07-16,trancado
Rebeca Vieira,f,851.367.942-91,1983-07-01,juliarezende@example.org,+55 43 98784-1392,da Luz do Norte,Sergipe,819461,4,2023-01-30,2026-09-16,2026-09-16,ativo
Clarice Câmara,f,961.548.702-30,2000-02-21,alicepastor@example.org,+55 68 93159-2990,Sousa,Paraná,590291,2,2023-12-19,2025-01-08,2025-01-08,ativo
Bernardo Aragão,m,920.637.481-87,2002-10-18,laraaragao@example.net,+55 13 97816-7390,da Paz da Mata,Paraná,275468,5,2024-04-26,2025-04-29,2025-04-29,ativo
Joana Pereira,f,540.136.792-99,1993-05-27,joao-lucasbarros@example.org,+55 60 94799-1460,Duarte,Distrito Federal,111751,4,2024-04-06,2026-12-14,2026-12-14,ativo
Stephany Fernandes,f,347.652.109-52,2003-05-25,ana-clara40@example.net,+55 63 95553-7401,Mendes da Prata,Bahia,911591,4,2024-04-25,2026-08-15,2026-08-15,ativo
Agatha Mendonça,f,512.086.497-01,1982-05-18,augusto07@example.net,+55 63 94068-9825,Andrade,Pará,658972,4,2024-04-22,2026-02-10,2026-02-10,ativo
Sra. Isis Jesus,f,874.390.261-87,2004-12-21,leandrorocha@example.org,+55 64 95659-3780,Rios de da Cunha,Espírito Santo,752063,3,2023-01-09,2026-11-08,2026-11-08,ativo
Antônio Lima,m,672.134.598-64,1980-08-09,pastordom@example.net,+55 44 92339-4268,Oliveira de Sales,Sergipe,552773,5,2024-01-13,2025-11-22,2025-11-22,ativo
Letícia Câmara,f,057.821.493-88,1987-06-17,noah18@example.com,+55 76 95912-8392,Viana,Maranhão,387974,1,2024-01-31,2025-03-23,2025-03-23,ativo
Maitê Alves,f,729.065.348-38,1994-11-14,yasminrios@example.net,+55 41 92125-5302,da Rocha Grande,Goiás,165641,2,2023-09-06,2025-06-08,2025-06-08,ativo
Ryan Moura,m,954.682.031-89,1989-11-19,aparecidaravy@example.org,+55 11 97885-5204,Freitas,Rondônia,900208,5,2023-07-27,2025-07-07,2025-07-07,ativo
Guilherme Vasconcelos,m,249.508.316-15,1991-10-04,rodrigolima@example.net,+55 87 99657-7745,Peixoto,Rio de Janeiro,693479,4,2023-06-29,2025-08-21,2025-08-21,ativo
Sra. Lavínia Sales,f,375.608.419-10,1994-01-30,leaozoe@example.org,+55 53 93023-4823,Souza do Norte,Espírito Santo,139828,3,2023-05-30,2026-11-23,2026-11-23,ativo
Sra. Sara Campos,f,426.978.150-58,2003-10-18,ysiqueira@example.com,+55 63 91622-5863,Caldeira do Amparo,Pará,115893,2,2023-11-08,2026-03-29,2026-03-29,ativo
Ravi Caldeira,m,678.420.159-02,1999-10-06,novaesdavi-lucca@example.com,+55 70 93091-4500,Teixeira de da Costa,Espírito Santo,999582,1,2024-06-07,2026-03-08,2026-03-08,ativo
Melina Fernandes,f,368.097.425-65,1993-06-13,bruno96@example.com,+55 54 93249-3952,Fernandes,Mato Grosso do Sul,721740,2,2023-12-03,2025-11-26,2025-11-26,ativo
Matheus Aparecida,m,542.716.890-76,1990-06-14,benjamin65@example.com,+55 41 97995-7258,Carvalho,Distrito Federal,282471,4,2023-07-17,2026-09-15,2026-09-15,ativo
